"20231217214159_23815250","2023-12-17 21:41:59",23,8,15,0.25
"20231217214808_23915250","2023-12-17 21:48:08",23,9,15,0.25
"20231217215200_231815250","2023-12-17 21:52:00",23,18,15,0.25
"20231217220159_231215250","2023-12-17 22:01:59",23,12,15,0.25
"20231217220309_23715250","2023-12-17 22:03:09",23,7,15,0.25
"20231217220324_231315250","2023-12-17 22:03:24",23,13,15,0.25
"20231217220432_27917320","2023-12-17 22:04:32",27,9,17,0.32
"20231217220446_271817320","2023-12-17 22:04:46",27,18,17,0.32
"20231217220913_291217320","2023-12-17 22:09:13",29,12,17,0.32
